"","1M","3M","6M","1Y","2Y","3Y","5Y","7Y","10Y","20Y","30Y"
"1",NA,NA,NA,3.22,NA,3.7,3.88,NA,4.06,4.07,NA
"2",NA,NA,NA,3.24,NA,3.7,3.87,NA,4.03,4.07,NA
"3",NA,NA,NA,3.24,NA,3.69,3.86,NA,3.99,4.06,NA
"4",NA,NA,NA,3.26,NA,3.71,3.89,NA,4.02,4.07,NA
"5",NA,NA,NA,3.31,NA,3.71,3.91,NA,4.03,4.08,NA
"6",NA,NA,NA,3.32,NA,3.74,3.93,NA,4.05,4.08,NA
"7",NA,NA,NA,3.33,NA,3.75,3.94,NA,4.07,4.09,NA
"8",NA,NA,NA,3.33,NA,3.77,3.94,NA,4.08,4.08,NA
"9",NA,NA,NA,3.3,NA,3.76,3.95,NA,4.08,4.09,NA
"10",NA,NA,NA,3.32,NA,3.79,3.96,NA,4.1,4.1,NA
"11",NA,NA,NA,3.3,NA,3.81,3.98,NA,4.13,4.11,NA
"12",NA,NA,NA,3.3,NA,3.81,3.97,NA,4.12,4.1,NA
"13",NA,NA,NA,3.27,NA,3.79,3.96,NA,4.11,4.1,NA
"14",NA,NA,NA,3.27,NA,3.78,3.95,NA,4.11,4.1,NA
"15",NA,NA,NA,3.25,NA,3.76,3.93,NA,4.09,4.09,NA
"16",NA,NA,NA,3.25,NA,3.77,3.94,NA,4.11,4.1,NA
"17",NA,NA,NA,3.24,NA,3.76,3.93,NA,4.1,4.1,NA
"18",NA,NA,NA,3.27,NA,3.77,3.94,NA,4.11,4.12,NA
"19",NA,NA,NA,3.28,NA,3.8,3.97,NA,4.11,4.12,NA
"20",NA,NA,NA,3.28,NA,3.8,3.98,NA,4.12,4.13,NA
"21",NA,NA,NA,3.28,NA,3.8,3.98,NA,4.11,4.13,NA
"22",NA,NA,NA,3.29,NA,3.81,3.99,NA,4.1,4.13,NA
"23",NA,NA,NA,3.3,NA,3.81,4,NA,4.09,4.13,NA
"24",NA,NA,NA,3.3,NA,3.77,3.97,NA,4.08,4.13,NA
"25",NA,NA,NA,3.29,NA,3.77,3.96,NA,4.07,4.12,NA
